grupo,partidas
A,QATAR x ECUADOR
A,SENEGAL x NETHERLANDS
A,QATAR x SENEGAL
A,NETHERLANDS x ECUADOR
A,NETHERLANDS x QATAR
A,ECUADOR x SENEGAL
B,ENGLAND x IRAN
B,UNITED STATES x WALES
B,WALES x IRAN
B,ENGLAND x UNITED STATES
B,WALES x ENGLAND
B,IRAN x UNITED STATES
C,ARGENTINA x SAUDI ARABIA
C,MEXICO x POLAND
C,POLAND x SAUDI ARABIA
C,ARGENTINA x MEXICO
C,POLAND x ARGENTINA
C,SAUDI ARABIA x MEXICO
D,DENMARK x TUNISIA
D,FRANCE x AUSTRALIA
D,TUNISIA x AUSTRALIA
D,FRANCE x DENMARK
D,AUSTRALIA x DENMARK
D,TUNISIA x FRANCE
F,MOROCCO x CROATIA
F,BELGIUM x CANADA
F,BELGIUM x MOROCCO
F,CROATIA x CANADA
F,CROATIA x BELGIUM
F,CANADA x MOROCCO
E,GERMANY x JAPAN
E,SPAIN x COSTA RICA
E,JAPAN x COSTA RICA
E,SPAIN x GERMANY
E,JAPAN x SPAIN
E,COSTA RICA x GERMANY
G,SWITZERLAND x CAMEROON
G,BRAZIL x SERBIA
G,CAMEROON x SERBIA
G,BRAZIL x SWITZERLAND
G,SERBIA x SWITZERLAND
G,CAMEROON x BRAZIL
H,URUGUAY x KOREA REPUBLIC
H,PORTUGAL x GHANA
H,KOREA REPUBLIC x GHANA
H,PORTUGAL x URUGUAY
H,GHANA x URUGUAY
H,KOREA REPUBLIC x PORTUGAL
Oitavas de Final,NETHERLANDS x UNITED STATES
Oitavas de Final,ARGENTINA x AUSTRALIA
Oitavas de Final,FRANCE x POLAND
Oitavas de Final,ENGLAND x SENEGAL
Oitavas de Final,JAPAN x CROATIA
Oitavas de Final,BRAZIL x KOREA REPUBLIC
Oitavas de Final,MOROCCO x SPAIN
Oitavas de Final,PORTUGAL x SWITZERLAND
Quartas de Final,CROATIA x BRAZIL
Quartas de Final,NETHERLANDS x ARGENTINA
Quartas de Final,MOROCCO x PORTUGAL
Quartas de Final,ENGLAND x FRANCE
