nome,pontos,vitorias,empates,derrotas,gols_pro,gols_contra,grupo,saldo_gols,aproveitamento
GHANA,3,1,0,2,5,7,H,-2,0.167
ECUADOR,4,1,1,1,4,3,A,1,0.222
IRAN,3,1,0,2,4,7,B,-3,0.167
SAUDI ARABIA,3,1,0,2,3,5,C,-2,0.167
CAMEROON,4,1,1,1,4,4,G,0,0.222
POLAND,4,1,1,1,2,2,C,0,0.222
POLAND,0,0,0,1,1,3,Oitavas de Final,-2,0.0
BRAZIL,6,2,0,1,3,1,G,2,0.333
BRAZIL,3,1,0,0,4,1,Oitavas de Final,3,0.125
BRAZIL,1,0,1,0,1,1,Quartas de Final,0,0.083
SERBIA,1,0,1,2,5,8,G,-3,0.056
UNITED STATES,5,1,2,0,2,1,B,1,0.278
UNITED STATES,0,0,0,1,1,3,Oitavas de Final,-2,0.0
SENEGAL,6,2,0,1,5,4,A,1,0.333
SENEGAL,0,0,0,1,0,3,Oitavas de Final,-3,0.0
DENMARK,1,0,1,2,1,3,D,-2,0.056
BELGIUM,4,1,1,1,1,2,F,-1,0.222
WALES,1,0,1,2,1,6,B,-5,0.056
TUNISIA,4,1,1,1,1,1,D,0,0.222
URUGUAY,4,1,1,1,2,2,H,0,0.222
COSTA RICA,3,1,0,2,3,11,E,-8,0.167
CANADA,0,0,0,3,2,7,F,-5,0.0
SWITZERLAND,6,2,0,1,4,3,G,1,0.333
SWITZERLAND,0,0,0,1,1,6,Oitavas de Final,-5,0.0
KOREA REPUBLIC,4,1,1,1,4,4,H,0,0.222
KOREA REPUBLIC,0,0,0,1,1,4,Oitavas de Final,-3,0.0
NETHERLANDS,7,2,1,0,5,1,A,4,0.389
NETHERLANDS,3,1,0,0,3,1,Oitavas de Final,2,0.125
NETHERLANDS,1,0,1,0,2,2,Quartas de Final,0,0.083
PORTUGAL,6,2,0,1,6,4,H,2,0.333
PORTUGAL,3,1,0,0,6,1,Oitavas de Final,5,0.125
PORTUGAL,0,0,0,1,0,1,Quartas de Final,-1,0.0
ARGENTINA,6,2,0,1,5,2,C,3,0.333
ARGENTINA,3,1,0,0,2,1,Oitavas de Final,1,0.125
ARGENTINA,1,0,1,0,2,2,Quartas de Final,0,0.083
MEXICO,4,1,1,1,2,3,C,-1,0.222
SPAIN,4,1,1,1,9,3,E,6,0.222
SPAIN,1,0,1,0,0,0,Oitavas de Final,0,0.042
MOROCCO,7,2,1,0,4,1,F,3,0.389
MOROCCO,1,0,1,0,0,0,Oitavas de Final,0,0.042
MOROCCO,3,1,0,0,1,0,Quartas de Final,1,0.25
JAPAN,6,2,0,1,4,3,E,1,0.333
JAPAN,1,0,1,0,1,1,Oitavas de Final,0,0.042
AUSTRALIA,6,2,0,1,3,4,D,-1,0.333
AUSTRALIA,0,0,0,1,1,2,Oitavas de Final,-1,0.0
FRANCE,6,2,0,1,6,3,D,3,0.333
FRANCE,3,1,0,0,3,1,Oitavas de Final,2,0.125
FRANCE,3,1,0,0,2,1,Quartas de Final,1,0.25
GERMANY,4,1,1,1,6,5,E,1,0.222
QATAR,0,0,0,3,1,7,A,-6,0.0
ENGLAND,7,2,1,0,9,2,B,7,0.389
ENGLAND,3,1,0,0,3,0,Oitavas de Final,3,0.125
ENGLAND,0,0,0,1,1,2,Quartas de Final,-1,0.0
CROATIA,5,1,2,0,4,1,F,3,0.278
CROATIA,1,0,1,0,1,1,Oitavas de Final,0,0.042
CROATIA,1,0,1,0,1,1,Quartas de Final,0,0.083
